frame,time_s,active_notes,events,audio_active,rms_dbfs,rms_threshold,rms_growth,spectral_flux,onset_detector_score,top_frame,top_onset,inference_ms,pipeline_ms,queue_depth
1730,11.128163265306123,,,1,-42.06223040987322,0.003237655062603202,0.0063961743729205565,0.02506592338380775,8.41617490526883,64:0.73025 52:0.71092 40:0.66889 47:0.58737 76:0.49525 59:0.46499,64:0.30026 40:0.27052 52:0.26128 59:0.21325 47:0.21252 55:0.12802,3.628499999997814,31.21579999999824,3
1731,11.133968253968254,,,1,-36.76133032382776,0.003237655062603202,0.006632316545353092,0.28140997853902056,13.5,64:0.74614 52:0.57227 67:0.52575 76:0.51003 63:0.50265 71:0.45295,64:0.59101 67:0.53055 66:0.39177 68:0.38411 71:0.35794 52:0.28835,2.252000000002141,14.192000000001315,2
1732,11.139773242630385,67,note_on:67,1,-39.05269236026228,0.003237655062603202,0.0,0.04886881892378371,9.6,67:0.89524 64:0.74171 63:0.60396 52:0.51228 66:0.46739 55:0.46038,67:0.82894 64:0.63815 66:0.63472 68:0.47377 65:0.39571 63:0.30062,1.852200000001858,17.004100000001188,1
1733,11.145578231292516,67,,1,-38.873444631726585,0.003237655062603202,0.00023253784077562414,0.05763948325412113,13.000220404712138,67:0.94749 64:0.66274 63:0.59672 66:0.57131 55:0.42463 52:0.35477,67:0.85243 66:0.70315 64:0.59039 65:0.47736 68:0.33855 63:0.28166,3.0865999999996063,21.080500000000058,0
1734,11.15138321995465,67,,1,-39.20478967132529,0.003237655062603202,0.0,0.03409609760236485,6.614501869584605,67:0.96065 66:0.59379 63:0.55287 64:0.54630 55:0.28656 71:0.21979,67:0.83793 66:0.67836 64:0.50205 65:0.40920 68:0.31373 63:0.22189,2.222700000000799,4.7192000000002565,2
1735,11.15718820861678,67,,1,-39.823609285632664,0.003237655062603202,0.0,0.01655529007192304,4.5,67:0.97076 66:0.61310 64:0.51401 63:0.48040 55:0.20630 65:0.20307,67:0.81612 66:0.66364 64:0.43735 65:0.38747 68:0.25308 72:0.17487,2.554799999998636,8.313399999998694,1
1736,11.162993197278912,67,,1,-40.08480419757028,0.003237655062603202,0.0,0.020079160825608046,4.5,67:0.97781 66:0.61056 64:0.43744 63:0.41098 65:0.19405 68:0.16459,67:0.80648 66:0.67063 64:0.39348 65:0.39023 68:0.22373 72:0.14535,2.7924000000005833,12.212699999999188,0
1737,11.168798185941043,67,,1,-39.2774261787263,0.003237655062603202,0.0009646353964490907,0.009253839270700755,8.4,67:0.98057 66:0.57550 64:0.37135 63:0.32224 65:0.16150 68:0.15820,67:0.75794 66:0.61791 65:0.33160 64:0.32716 68:0.20151 72:0.11267,2.9868999999997925,4.638799999998611,2
1738,11.174603174603174,67,,1,-39.17713273393287,0.003237655062603202,0.00012621084696809448,0.02958952631919258,6.2161175880836295,67:0.98461 66:0.59196 64:0.32211 63:0.25244 65:0.17013 68:0.13238,67:0.74124 66:0.62869 65:0.34720 64:0.31108 68:0.17383 72:0.07772,3.1983999999987134,9.233499999997008,1
1739,11.180408163265307,67,,1,-40.455891588889244,0.003237655062603202,0.0,0.015257401986626569,4.5,67:0.98711 66:0.57270 64:0.22878 63:0.17971 65:0.14428 68:0.12034,67:0.70617 66:0.58264 65:0.32275 64:0.25252 68:0.15011 69:0.05888,3.3165999999980045,13.932600000000406,0
1740,11.186213151927438,67,,1,-39.86152215901155,0.003237655062603202,0.0006720344619896481,0.02804910149644951,9.109371173868956,67:0.98796 66:0.43602 64:0.13347 63:0.13160 68:0.09870 65:0.08675,67:0.62752 66:0.45833 65:0.21096 64:0.15721 68:0.13345 69:0.03383,2.4748999999992805,7.211899999997939,2
1741,11.19201814058957,67,,1,-39.939016009940346,0.003237655062603202,0.0,0.02162656341670649,4.5,67:0.98844 66:0.48400 64:0.10221 68:0.10091 65:0.09284 63:0.09226,67:0.58112 66:0.45787 65:0.20443 64:0.14465 68:0.12019 69:0.02490,2.7794999999990466,11.14300000000057,1
1742,11.1978231292517,67,,1,-39.80040032757451,0.003237655062603202,0.00016200083775059528,0.028123856127406727,6.801678556072017,67:0.99086 66:0.47560 68:0.09149 65:0.06454 64:0.05199 69:0.03893,67:0.56809 66:0.41048 65:0.14773 68:0.11356 64:0.09739 69:0.02077,2.4261999999986017,14.325799999998168,0
1743,11.203628117913832,67,,1,-40.42620113141351,0.003237655062603202,0.0,0.012918091181145869,4.5,67:0.98940 66:0.45468 68:0.07040 65:0.04128 64:0.03588 69:0.03048,67:0.47651 66:0.33683 68:0.09659 65:0.09340 64:0.07358 69:0.01419,2.747599999999295,4.158199999999113,2
