frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,inference_skipped,loop_ms,queue_delay_ms,queue_depth
97,0.5688888888888889,0,4096,0,1.0,-80.62512722265134,,,,,,,,,0,0.47789999999992006,1.6593000000000302,1
98,0.5746938775510204,0,4096,0,1.0,-78.64498103321465,,,,,,,,,0,0.44399999999988893,2.1281999999995804,0
99,0.5804988662131519,0,4096,0,1.0,-77.87350771507786,,,,,,,,,0,1.1340000000004125,1.3161000000003753,2
100,0.5863038548752835,0,4096,0,1.0,-78.62651647135527,,,,,,,,,0,0.7687000000000666,2.1196000000003323,1
101,0.592108843537415,0,4096,0,1.0,-80.58878855552022,,,,,,,,,0,0.7377000000001743,3.6500999999997674,0
102,0.5979138321995465,0,4096,0,1.0,-81.79719212310002,,,,,,,,,0,1.1067000000011262,1.3571999999992812,2
103,0.603718820861678,0,4096,0,1.0,-82.72036782265651,,,,,,,,,0,0.5012000000004235,1.8609999999998905,1
104,0.6095238095238096,0,4096,0,1.0,-79.51679765597846,,,,,,,,,0,0.44169999999965626,2.318799999999399,0
105,0.615328798185941,0,4096,0,1.0,-79.28290003960724,,,,,,,,,0,0.9831000000009027,1.1358000000001311,2
106,0.6211337868480725,0,4096,0,1.0,-71.26935497541928,,,,,,,,,0,0.4199000000006947,1.1780000000012336,1
107,0.626938775510204,0,4096,0,1.0,-64.80976151288321,,,,,,,,,0,0.4057999999993456,1.5616999999998882,0
108,0.6327437641723356,0,4096,0,1.0,-58.94967231713126,,,,,,,,,0,2.0277999999986918,2.176500000000914,2
109,0.6385487528344671,0,4096,0,1.0,-49.37677801023242,,,,,,,,,0,1.1384999999997092,2.7396999999993454,1
110,0.6443537414965986,0,4096,0,1.0,-47.514245084968394,,,,,,,,,0,1.1355999999995703,3.912300000001423,0
111,0.6501587301587302,0,4096,0,1.0,-43.68435689182163,,,,,,,,,0,1.6935999999994067,2.05349999999882,2
112,0.6559637188208617,0,4096,0,1.0,-43.17661859006083,,,,,,,,,0,1.0487999999995168,3.1242000000002434,1
113,0.6617687074829932,0,4096,0,1.0,-44.62842861050952,,,,,,,,,0,1.0075999999994423,4.1610999999992515,0
114,0.6675736961451247,0,4096,0,1.0,-41.47543588695949,,,,,,,,,0,2.3397000000002777,2.5999000000016537,2
115,0.6733786848072563,0,4096,0,1.0,-44.90013204347026,,,,,,,,,0,1.5223999999989246,4.126599999999314,1
116,0.6791836734693878,0,4096,0,1.0,-43.24209875970141,,,,,,,,,0,1.4164000000000954,4.879700000000042,0
117,0.6849886621315193,0,4096,0,1.0,-46.15552203828634,,,,,,,,,0,0.7631999999997419,1.0920000000016472,2
118,0.6907936507936508,0,4096,0,1.0,-42.07118570481736,,,,,,,,,0,0.4293000000004099,1.394700000000526,1
119,0.6965986394557823,0,4096,0,1.0,-46.68996207164866,,,,,,,,,0,0.4048999999994862,1.7940000000002954,0
120,0.7024036281179138,0,4096,0,1.0,-43.522042955746144,,,,,,,,,0,1.8671999999995137,2.2169000000005212,2
121,0.7082086167800453,0,4096,0,1.0,-49.7354624223097,,,,,,,,,0,1.4860999999992686,3.730499999999637,1
122,0.7140136054421768,0,4096,0,1.0,-45.90825913479606,,,,,,,,,0,1.2326000000015824,5.026799999999554,0
123,0.7198185941043084,0,4096,0,1.0,-51.445190376917864,,,,,,,,,0,1.7567000000013877,2.122799999998648,2
124,0.7256235827664399,0,4096,0,1.0,-51.161227354631265,,,,,,,,,0,1.2712000000014712,3.3213999999990307,1
125,0.7314285714285714,0,4096,0,1.0,-53.53555208639361,,,,,,,,,0,0.5435000000009182,3.9183000000004853,0
126,0.737233560090703,0,4096,0,1.0,-56.18874468280466,,,,,,,,,0,0.6897999999999627,1.01339999999972,2
127,0.7430385487528345,0,4096,0,1.0,-53.04191034362831,,,,,,,,,0,0.41180000000018424,1.3196999999998127,1
128,0.748843537414966,0,4096,0,1.0,-55.45263122441493,,,,,,,,,0,0.46049999999908664,1.7751999999990886,0
129,0.7546485260770975,0,4096,0,1.0,-57.76516773877987,,,,,,,,,0,2.117399999999492,2.276099999999559,2
130,0.7604535147392291,0,4096,0,1.0,-55.14479532532902,,,,,,,,,0,2.395599999999831,5.298900000001439,1
131,0.7662585034013606,0,4096,0,1.0,-55.899930775454465,,,,,,,,,0,1.2655000000005856,6.6638000000001085,0
132,0.7720634920634921,0,4096,0,1.0,-58.844383954223105,,,,,,,,,0,0.8049999999997226,1.2310000000006482,2
133,0.7778684807256235,0,4096,0,1.0,-56.52893769565275,,,,,,,,,0,0.5537000000011005,1.6216000000000008,1
134,0.7836734693877551,0,4096,0,1.0,-55.11841719506254,,,,,,,,,0,0.42420000000120694,2.0182999999995843,0
135,0.7894784580498866,0,4096,0,1.0,-60.87578754609172,,,,,,,,,0,1.6902999999999224,2.0535999999999888,2
136,0.7952834467120181,0,4096,0,1.0,-62.822296037712306,,,,,,,,,0,1.4400999999999442,3.4781000000005946,1
137,0.8010884353741496,0,4096,0,1.0,-59.96108102864384,,,,,,,,,0,1.3995999999991682,4.9562999999999136,0
138,0.8068934240362812,0,4096,0,1.0,-56.872933814070464,,,,,,,,,0,2.117499999998884,2.3082999999992637,2
139,0.8126984126984127,0,4096,0,1.0,-58.533653145822925,,,,,,,,,0,3.013199999999827,4.737699999999734,1
140,0.8185034013605442,0,4096,0,1.0,-56.985858812370644,,,,,,,,,0,2.293399999999224,7.108199999999343,0
141,0.8243083900226758,0,4096,0,1.0,-58.70493158133872,,,,,,,,,0,1.8226000000005627,2.094400000000718,2
142,0.8301133786848073,0,4096,0,1.0,-61.366005236057,,,,,,,,,0,1.5204999999998137,3.6567999999999046,1
143,0.8359183673469388,0,4096,0,1.0,-64.98806296141176,,,,,,,,,0,1.808800000000943,5.542399999999503,0
144,0.8417233560090703,0,4096,0,1.0,-66.35223573883475,,,,,,,,,0,1.7753999999996495,2.087799999999973,2
145,0.8475283446712019,0,4096,0,1.0,-68.30557380433318,,,,,,,,,0,0.6783000000005757,2.7549999999987307,1
146,0.8533333333333334,0,4096,0,1.0,-74.54870255232949,,,,,,,,,0,0.6801000000002944,3.4650999999996657,0
147,0.8591383219954648,0,4096,0,1.0,-72.00760610979111,,,,,,,,,0,2.7012000000006253,2.9858999999987645,2
148,0.8649433106575963,0,4096,0,1.0,-72.92693179118453,,,,,,,,,0,1.6177000000006103,4.623699999999786,1
149,0.8707482993197279,0,4096,0,1.0,-72.01890882054558,,,,,,,,,0,1.4248999999999512,4.6943999999999875,0
150,0.8765532879818594,0,4096,0,1.0,-72.00760610979111,,,,,,,,,0,2.583800000000025,2.8220999999994945,2
151,0.8823582766439909,0,4096,0,1.0,-75.75741136193184,,,,,,,,,0,0.8619999999996963,3.6828999999993783,1
152,0.8881632653061224,0,4096,0,1.0,-75.06855107012883,,,,,,,,,0,0.6275999999996174,4.01620000000058,0
153,0.893968253968254,0,4096,0,1.0,-78.1328486772664,,,,,,,,,0,2.3215000000007535,2.6087999999990785,2
154,0.8997732426303855,0,4096,0,0.4156100812695243,-81.32441475223509,,,,,,,,,0,1.9011000000013212,4.539400000000526,1
155,0.905578231292517,0,4096,0,0.6510877960462444,-84.68200566162155,,,,,,,,,0,1.4291000000010712,6.057800000000668,0
156,0.9113832199546485,0,4096,0,0.0,-87.50475455135276,,,,,,,,,0,1.8319000000008856,2.177799999998342,2
157,0.9171882086167801,0,4096,0,0.0,-90.75011374872831,,,,,,,,,0,1.452000000000453,3.6141999999994567,1
158,0.9229931972789116,0,4096,0,0.0,-91.26804032738347,,,,,,,,,0,1.1036000000004265,4.771899999999718,0
159,0.9287981859410431,0,4096,0,0.0,-93.2427916041122,,,,,,,,,0,1.2536999999994691,1.4820000000010936,2
160,0.9346031746031747,0,4096,0,0.0,-93.20958212190418,,,,,,,,,0,1.1723999999997403,2.654700000000787,1
161,0.9404081632653061,0,4096,0,0.0,-92.20932990223332,,,,,,,,,0,0.4731000000006702,3.158099999998498,0
162,0.9462131519274376,0,4096,0,0.0,-93.85006232483077,,,,,,,,,0,2.609699999998938,2.998500000000348,2
163,0.9520181405895691,0,4096,0,0.0,-94.04612132548827,,,,,,,,,0,1.9220999999998156,4.925499999998806,1
164,0.9578231292517007,0,4096,0,0.0,-93.34397146134489,,,,,,,,,0,0.6038999999997685,5.556299999998515,0
165,0.9636281179138322,0,4096,0,0.0,-94.74056355997843,,,,,,,,,0,1.0635000000007722,1.4032999999997742,2
166,0.9694331065759637,0,4096,0,0.0,-93.58964910516109,,,,,,,,,0,0.45709999999843376,1.825399999999533,1
167,0.9752380952380952,0,4096,0,0.0,-94.37947693367157,,,,,,,,,0,0.4734000000006233,2.3109999999988418,0
168,0.9810430839002268,0,4096,0,0.0,-94.8841057031076,,,,,,,,,0,1.5620999999992335,1.8286999999990172,2
169,0.9868480725623583,0,4096,0,0.0,-94.00619505307482,,,,,,,,,0,1.192299999999591,3.089600000000914,1
170,0.9926530612244898,0,4096,0,0.0,-94.98250585300241,,,,,,,,,0,0.551700000000821,3.6725000000004115,0
171,0.9984580498866213,1,4096,0,0.0,-94.51139140853155,0.0026355041190981865,59,0,-1,,0,0,2.7628000000010644,0,3.610200000000674,3.9208999999988947,2
172,1.0042630385487528,1,4096,0,0.0,-94.16815088813847,0.0026345732621848583,59,0,-1,,0,0,3.8988999999993723,0,4.6362999999995935,8.48030000000044,1
173,1.0100680272108844,1,4096,0,0.0,-95.98564066195814,0.0026355795562267303,59,0,-1,,0,0,4.657399999999257,0,7.605400000000984,16.277099999999933,3
174,1.0158730158730158,1,4096,0,0.0,-96.51857380658345,0.002635436598211527,59,0,-1,,0,0,3.2013000000006286,0,4.099800000000542,8.642599999999945,2
175,1.0216780045351475,1,4096,0,0.0,-96.73658462938218,0.0026336475275456905,59,0,-1,,0,0,3.915200000001562,0,4.747199999998841,13.431399999999982,1
176,1.0274829931972789,1,4096,0,0.0,-97.20846808077347,0.0026341674383729696,59,0,-1,,0,0,4.717299999999369,0,6.484499999999116,20.051599999998615,0
177,1.0332879818594105,1,4096,0,0.0,-95.9233973547883,0.0026355204172432423,59,0,-1,,0,0,3.748599999999769,0,5.021100000000445,5.4864000000005575,2
178,1.039092970521542,1,4096,0,0.0,-95.98564066195814,0.002633988158777356,59,0,-1,,0,0,3.6705999999995242,0,5.94249999999974,11.513700000000071,1
179,1.0448979591836736,1,4096,0,0.0,-96.73658462938218,0.002634891541674733,59,0,-1,,0,0,3.6933999999995137,0,5.021999999998528,16.605799999998894,3
180,1.050702947845805,1,4096,0,0.0,-96.81175663155918,0.0026331155095249414,59,0,-1,,0,0,3.6713999999999913,0,4.736199999999968,6.861600000000578,2
181,1.0565079365079366,1,4096,0,0.0,-96.44826950478262,0.002635469427332282,59,0,-1,,0,0,3.8794000000006434,0,5.045299999999031,11.980599999999342,1
182,1.062312925170068,1,4096,0,0.0,-96.04878903049143,0.002635687356814742,59,0,-1,,0,0,4.540699999999731,0,6.149799999999317,18.18960000000125,0
183,1.0681179138321995,1,4096,0,0.0,-95.80152468536258,0.002633660100400448,59,0,-1,,0,0,3.713600000001094,0,5.876900000000518,6.2163000000001745,2
184,1.073922902494331,1,4096,0,0.0,-96.44826950478262,0.0026351031847298145,59,0,-1,,0,0,4.32699999999997,0,5.8349999999993685,12.070299999999534,4
185,1.0797278911564625,1,4096,0,0.0,-97.12617372141175,0.0026342300698161125,59,0,-1,,0,0,6.032700000000446,0,7.330600000001297,19.534399999999508,3
186,1.0855328798185941,1,4096,0,0.0,-96.66269167130112,0.0026338230818510056,59,0,-1,,0,0,3.9701999999994797,0,5.856900000001275,18.36619999999911,5
187,1.0913378684807256,1,4096,0,0.0,-95.98564066195814,,-1,0,-1,,0,0,,1,0.7239999999999469,18.812099999999887,4
188,1.0971428571428572,1,4096,0,0.0,-96.8882527379592,0.002633880591019988,59,0,-1,,0,0,3.5769999999999413,0,4.218100000001002,23.0011999999995,3
189,1.1029478458049886,1,4096,0,0.0,-96.44826950478262,0.002634540433064103,59,0,-1,,0,0,4.831100000000532,0,5.953900000001511,11.670499999999251,2
190,1.1087528344671203,1,4096,0,0.0,-96.8882527379592,0.002634915290400386,59,0,-1,,0,0,3.4154999999991276,0,4.604500000001011,16.366500000000173,1
191,1.1145578231292517,1,4096,0,0.0,-96.51857380658345,0.0026348300743848085,59,0,-1,,0,0,3.2348000000013144,0,4.120000000000346,20.564399999999594,0
192,1.1203628117913833,1,4096,0,0.0,-96.44826950478262,0.002634518314152956,59,0,-1,,0,0,4.786700000000366,0,6.9312999999997515,7.126899999999381,2
193,1.1261678004535147,1,4096,0,0.0,-95.51101507673651,0.002636226359754801,59,0,-1,,0,0,3.8663999999997145,0,5.1072000000012,12.33730000000044,1
194,1.1319727891156464,1,4096,0,0.0,-96.243937670594,0.0026348826941102743,59,0,-1,,0,0,3.398799999999369,0,4.362000000000421,16.119200000000333,0
195,1.1377777777777778,1,4096,0,0.0,-97.92982462984386,0.0026341271586716175,59,0,-1,,0,0,7.4771000000009025,0,11.15500000000047,11.367500000000419,2
196,1.1435827664399092,1,4096,0,0.0,-96.59003495889704,0.0026339679025113583,59,0,-1,,0,0,6.911699999999854,0,8.871300000000915,19.67980000000047,4
197,1.1493877551020408,1,4096,0,0.0,-96.59003495889704,0.002635048236697912,59,0,-1,,0,0,3.327300000000477,0,4.300399999999982,24.002199999999974,3
198,1.1551927437641722,1,4096,0,0.0,-96.59003495889704,0.0026351134292781353,59,0,-1,,0,0,3.4527999999998116,0,4.31740000000147,13.324199999999564,5
199,1.1609977324263039,1,4096,0,0.0,-95.86203353190663,,-1,0,-1,,0,0,,1,0.6052000000007496,13.948300000000913,4
200,1.1668027210884353,1,4096,0,0.0,-95.86203353190663,0.0026339394971728325,59,0,-1,,0,0,3.571300000000832,0,4.227399999999548,18.199100000000357,3
201,1.172607709750567,1,4096,0,0.0,-96.44826950478262,0.002633690135553479,59,0,-1,,0,0,6.762200000000718,0,9.436900000000747,15.867499999998813,2
202,1.1784126984126984,1,4096,0,0.0,-96.04878903049143,0.0026341360062360764,59,0,-1,,0,0,4.98580000000004,0,7.13200000000036,23.167799999999517,1
203,1.18421768707483,1,4096,0,0.0,-96.17790898892383,0.00263363984413445,59,0,-1,,0,0,4.429700000001091,0,6.323700000001153,29.69869999999908,3
204,1.1900226757369614,1,4096,0,0.0,-96.73658462938218,0.0026339003816246986,59,0,-1,,0,0,3.468999999999056,0,4.415100000001004,7.053300000000817,5
205,1.195827664399093,1,4096,0,0.0,-96.66269167130112,,-1,0,-1,,0,0,,1,0.7028000000008916,7.809500000000469,4
206,1.2016326530612245,1,4096,0,0.0,-96.81175663155918,0.0026339604519307613,59,0,-1,,0,0,5.119900000000399,0,5.967599999999962,13.825100000000035,3
207,1.207437641723356,1,4096,0,0.0,-96.66269167130112,0.0026343916542828083,59,0,-1,,0,0,4.190700000000547,0,5.589699999999809,12.980900000000517,2
208,1.2132426303854875,1,4096,0,0.0,-97.04540980062914,0.00263464474119246,59,0,-1,,0,0,3.654499999999672,0,4.691699999998633,17.73109999999889,4
209,1.2190476190476192,1,4096,0,0.0,-96.31098574877738,0.002634917851537466,59,0,-1,,0,0,5.627999999999744,0,6.507499999999666,24.318199999999734,3
210,1.2248526077097506,1,4096,0,0.0,-96.66269167130112,0.0026339530013501644,59,0,-1,,0,0,3.661700000000323,0,4.730999999999597,12.099100000000362,2
211,1.230657596371882,1,4096,0,0.0,-97.55418651162195,0.002634444274008274,59,0,-1,,0,0,5.13779999999997,0,6.864400000001325,19.04389999999978,1
