frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms
98,0.5746938775510204,0,4096,0,1.0,-67.8883935726888,,,,,,,,,1.9569000000032588
99,0.5804988662131519,0,4096,0,1.0,-67.80401009474294,,,,,,,,,2.3927999999990845
100,0.5863038548752835,0,4096,0,1.0,-64.22523138705867,,,,,,,,,1.4335999999985916
101,0.592108843537415,0,4096,0,1.0,-63.580508946856035,,,,,,,,,1.8574999999998454
102,0.5979138321995465,0,4096,0,1.0,-63.38554695237122,,,,,,,,,1.5184999999995341
103,0.603718820861678,0,4096,0,1.0,-62.97438416797615,,,,,,,,,0.88050000000095
104,0.6095238095238096,0,4096,0,1.0,-63.47556316335486,,,,,,,,,0.7580999999987625
105,0.615328798185941,0,4096,0,1.0,-60.77032110764154,,,,,,,,,2.4275999999971987
106,0.6211337868480725,0,4096,0,1.0,-62.26914198745995,,,,,,,,,2.386200000000116
107,0.626938775510204,0,4096,0,1.0,-60.42147143447779,,,,,,,,,1.7364000000021917
108,0.6327437641723356,0,4096,0,1.0,-62.957681388652595,,,,,,,,,1.2197000000000457
109,0.6385487528344671,0,4096,0,1.0,-64.56758798932866,,,,,,,,,1.0797000000017931
110,0.6443537414965986,0,4096,0,1.0,-62.324103377399425,,,,,,,,,0.820099999998547
111,0.6501587301587302,0,4096,0,1.0,-63.76598180679455,,,,,,,,,0.9399999999999409
112,0.6559637188208617,0,4096,0,1.0,-54.22795534769737,,,,,,,,,0.976700000002495
113,0.6617687074829932,0,4096,0,1.0,-52.979343153582825,,,,,,,,,0.8225000000017246
114,0.6675736961451247,0,4096,0,1.0,-45.3980984421938,,,,,,,,,1.1808999999978198
115,0.6733786848072563,0,4096,0,1.0,-43.7117513858055,,,,,,,,,0.894699999999915
116,0.6791836734693878,0,4096,0,1.0,-44.1948193819985,,,,,,,,,0.8051999999985071
117,0.6849886621315193,0,4096,0,1.0,-45.91807876784192,,,,,,,,,1.372599999999835
118,0.6907936507936508,0,4096,0,1.0,-43.51356491667844,,,,,,,,,0.9326000000022816
119,0.6965986394557823,0,4096,0,1.0,-51.5953487497621,,,,,,,,,0.8935000000001025
120,0.7024036281179138,0,4096,0,1.0,-51.695705589959,,,,,,,,,1.2575000000012437
121,0.7082086167800453,0,4096,0,1.0,-52.59507260490351,,,,,,,,,0.6722000000003447
122,0.7140136054421768,0,4096,0,1.0,-55.6595397579105,,,,,,,,,0.6739000000024475
123,0.7198185941043084,0,4096,0,1.0,-51.436133574729695,,,,,,,,,1.267200000000912
124,0.7256235827664399,0,4096,0,1.0,-50.43428903587475,,,,,,,,,0.8714999999988038
125,0.7314285714285714,0,4096,0,1.0,-46.6054863041325,,,,,,,,,1.1386000000008778
126,0.737233560090703,0,4096,0,1.0,-46.61781368858633,,,,,,,,,1.9922000000001105
127,0.7430385487528345,0,4096,0,1.0,-45.27851570141251,,,,,,,,,1.514100000001406
128,0.748843537414966,0,4096,0,1.0,-46.94429795207274,,,,,,,,,1.6503999999990526
129,0.7546485260770975,0,4096,0,1.0,-47.3083740274613,,,,,,,,,1.2292999999985454
130,0.7604535147392291,0,4096,0,1.0,-45.8362871893889,,,,,,,,,0.8727999999997849
131,0.7662585034013606,0,4096,0,1.0,-46.67818724316115,,,,,,,,,0.8075000000005161
132,0.7720634920634921,0,4096,0,1.0,-49.393379718104455,,,,,,,,,1.162199999999558
133,0.7778684807256235,0,4096,0,1.0,-49.97119960139153,,,,,,,,,0.9884000000006665
134,0.7836734693877551,0,4096,0,1.0,-54.845918468250005,,,,,,,,,0.8295999999994308
135,0.7894784580498866,0,4096,0,1.0,-60.098474810175546,,,,,,,,,2.0506000000004576
136,0.7952834467120181,0,4096,0,1.0,-59.572441215904504,,,,,,,,,0.914600000001542
137,0.8010884353741496,0,4096,0,1.0,-61.69334483085586,,,,,,,,,0.8927000000014118
138,0.8068934240362812,0,4096,0,1.0,-62.49634713443278,,,,,,,,,1.4022999999987462
139,0.8126984126984127,0,4096,0,1.0,-62.43106665048309,,,,,,,,,0.9123999999971488
140,0.8185034013605442,0,4096,0,1.0,-65.53138531728031,,,,,,,,,0.7547999999992783
141,0.8243083900226758,0,4096,0,1.0,-64.7665554808505,,,,,,,,,1.7038000000013653
142,0.8301133786848073,0,4096,0,1.0,-66.4325790784408,,,,,,,,,5.000299999998958
143,0.8359183673469388,0,4096,0,1.0,-67.67964447151418,,,,,,,,,4.830399999999457
144,0.8417233560090703,0,4096,0,1.0,-67.94954659333419,,,,,,,,,1.259499999999747
145,0.8475283446712019,0,4096,0,1.0,-68.94597119854225,,,,,,,,,2.7454999999996232
146,0.8533333333333334,0,4096,0,1.0,-70.4781165985772,,,,,,,,,2.1914999999985696
147,0.8591383219954648,0,4096,0,1.0,-72.55605938834313,,,,,,,,,1.7490000000002226
148,0.8649433106575963,0,4096,0,1.0,-70.14841869712494,,,,,,,,,1.281099999999924
149,0.8707482993197279,0,4096,0,1.0,-71.15078187779025,,,,,,,,,3.309200000000345
150,0.8765532879818594,0,4096,0,1.0,-71.95499778523485,,,,,,,,,1.5815000000003465
151,0.8823582766439909,0,4096,0,0.8956086859746438,-70.07659070562357,,,,,,,,,2.0586999999991917
152,0.8881632653061224,0,4096,0,1.0,-71.6083733751442,,,,,,,,,1.692800000000716
153,0.893968253968254,0,4096,0,1.0,-70.68547649474715,,,,,,,,,1.5406999999996174
154,0.8997732426303855,0,4096,0,1.0,-67.49615437668899,,,,,,,,,1.1221000000034564
155,0.905578231292517,0,4096,0,1.0,-65.75280240049547,,,,,,,,,0.8144000000029905
156,0.9113832199546485,0,4096,0,1.0,-67.25134870785062,,,,,,,,,1.8925000000002967
157,0.9171882086167801,0,4096,0,1.0,-66.86520838995007,,,,,,,,,1.0014000000033718
158,0.9229931972789116,0,4096,0,1.0,-63.213540732496355,,,,,,,,,0.903100000002155
159,0.9287981859410431,0,4096,0,1.0,-62.455192138644364,,,,,,,,,1.7020000000016466
160,0.9346031746031747,0,4096,0,1.0,-62.651519556598444,,,,,,,,,0.9783999999974924
161,0.9404081632653061,0,4096,0,1.0,-61.60321609489798,,,,,,,,,0.8398000000013894
162,0.9462131519274376,0,4096,0,1.0,-61.850771367300936,,,,,,,,,1.159100000002411
163,0.9520181405895691,0,4096,0,1.0,-64.6690794510699,,,,,,,,,0.874400000000719
164,0.9578231292517007,0,4096,0,1.0,-66.5151449558146,,,,,,,,,0.8890000000008058
165,0.9636281179138322,0,4096,0,0.37725897682890425,-72.57402694539279,,,,,,,,,2.2952000000024952
166,0.9694331065759637,0,4096,0,1.0,-71.85552887719123,,,,,,,,,1.3845000000003438
167,0.9752380952380952,0,4096,0,1.0,-73.59117059104514,,,,,,,,,1.3900000000006685
168,0.9810430839002268,0,4096,0,1.0,-72.35120976845789,,,,,,,,,2.137900000001025
169,0.9868480725623583,0,4096,0,1.0,-69.94544320837879,,,,,,,,,1.8928000000002498
170,0.9926530612244898,0,4096,0,1.0,-69.49951190415389,,,,,,,,,1.7970999999974424
171,0.9984580498866213,1,4096,0,1.0,-66.6981218348255,0.002376852324232459,59,0,-1,,0,0,5.523600000000073,7.681699999999125
