frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,inference_skipped,loop_ms,queue_delay_ms,queue_depth
1701,9.880090702947847,1,4096,0,0.0,-93.41275847080522,,-1,0,-1,,0,0,,1,0.8586000000008198,1.0945999999982803,2
1702,9.885895691609978,1,4096,0,0.0,-85.34275650437675,,-1,0,-1,,0,0,,1,0.5105999999983624,1.637799999997469,1
1703,9.891700680272109,1,512,1,1.0,-58.43149774220488,0.025912217795848846,59,0,-1,,0,0,3.5401999999997713,0,4.152999999998741,5.818200000000218,0
1704,9.89750566893424,1,512,0,1.0,-50.67047457343067,,-1,0,-1,,0,0,,1,3.011300000000716,3.4324999999988393,2
1705,9.903310657596371,1,512,0,1.0,-52.15274323693593,,-1,0,-1,,0,0,,1,1.552300000000173,5.093899999998541,1
1706,9.909115646258503,1,1024,0,1.0,-50.29944917162044,0.29978448152542114,59,0,-1,,0,0,3.980999999999568,0,5.104400000000453,10.248099999998317,0
1707,9.914920634920636,1,1024,0,1.0,-52.916356323878944,,-1,0,-1,,0,0,,1,0.7061999999997681,1.0347999999993363,2
1708,9.920725623582767,1,2048,0,1.0,-52.435995857322546,,-1,0,-1,,0,0,,1,0.6625000000006764,1.7472999999981198,1
1709,9.926530612244898,1,2048,0,1.0,-49.81608197490027,0.10925321280956268,59,0,-1,,0,0,5.07119999999972,0,5.812599999995172,7.622099999998966,0
1710,9.93233560090703,1,2048,0,1.0,-41.43562921976291,,-1,0,-1,,0,0,,1,0.6751999999998759,0.8505999999997016,2
1711,9.93814058956916,1,2048,0,1.0,-39.648009618483606,,-1,0,-1,,0,0,,1,0.40959999999756747,1.2850000000028672,1
1712,9.943945578231293,1,4096,0,1.0,-37.919921690055,0.012702527455985546,67,0,-1,,0,0,2.667500000001155,0,3.2351000000012675,4.544199999998,0
1713,9.949750566893425,1,4096,0,1.0,-35.43400014997969,,-1,0,-1,,0,0,,1,1.1432000000013431,1.3539999999991892,2
1714,9.955555555555556,1,4096,0,1.0,-36.685445433828676,,-1,0,-1,,0,0,,1,0.8704000000001599,2.3151000000005695,1
1715,9.961360544217687,1,4096,0,1.0,-38.86562255313247,0.016215380281209946,67,0,-1,,0,0,4.100100000002271,0,6.143099999995627,8.22549999999822,3
