frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
84,0.49342403628117915,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.6810000000013758,0.4122000000030823,0
85,0.4992290249433107,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.684399999998476,2.109800000003048,0
86,0.5050340136054422,0,4096,0,0.0,-95.68297888648334,,,,,,,,,1.0212999999978933,4.013599999996842,0
87,0.5108390022675737,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.1421000000026993,0.28519999999687684,0
88,0.5166439909297053,0,4096,0,0.0,-96.11286916969236,,,,,,,,,0.8783000000001095,1.4486000000033528,0
89,0.5224489795918368,0,4096,0,0.0,-96.8882527379592,,,,,,,,,0.7717000000013741,2.376700000002785,0
90,0.5282539682539683,0,4096,0,0.0,-96.11286916969236,,,,,,,,,1.4006000000001961,0.2728000000011832,0
91,0.5340589569160997,0,4096,0,0.0,-95.86203353190663,,,,,,,,,0.8392999999990991,1.689400000000063,0
92,0.5398639455782313,0,4096,0,0.0,-95.51101507673651,,,,,,,,,0.9222000000015385,2.5687999999988165,0
93,0.5456689342403628,0,4096,0,0.0,-96.31098574877738,,,,,,,,,1.1961999999989814,0.32099999999957163,0
94,0.5514739229024943,0,4096,0,0.0,-95.51101507673651,,,,,,,,,3.430599999997952,1.501699999998607,0
95,0.5572789115646258,0,4096,0,0.0,-96.37908519400071,,,,,,,,,1.2420000000012976,5.14790000000076,0
96,0.5630839002267574,0,4096,0,0.0,-97.20846808077347,,,,,,,,,1.3539999999991892,0.2900999999972953,0
97,0.5688888888888889,0,4096,0,0.0,-95.98564066195814,,,,,,,,,1.051700000001432,1.6523999999975558,0
98,0.5746938775510204,0,4096,0,0.0,-96.31098574877738,,,,,,,,,0.8441000000019017,2.7644000000002222,0
99,0.5804988662131519,0,4096,0,0.0,-97.55418651162195,,,,,,,,,1.4521999999992374,0.26889999999824,0
100,0.5863038548752835,0,4096,0,0.0,-96.8882527379592,,,,,,,,,1.056899999998251,1.754900000001669,0
101,0.592108843537415,0,4096,0,0.0,-96.8882527379592,,,,,,,,,1.2220000000020548,18.875200000000092,0
102,0.5979138321995465,0,4096,0,0.0,-96.37908519400071,,,,,,,,,1.1379000000033557,0.2843999999981861,0
103,0.603718820861678,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.8368999999994742,1.4193000000020106,0
104,0.6095238095238096,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.7573999999976877,2.2908000000008144,0
105,0.615328798185941,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.245600000000735,0.3317999999978838,0
106,0.6211337868480725,0,4096,0,0.0,-96.37908519400071,,,,,,,,,0.844099999998349,1.5240999999974747,0
107,0.626938775510204,0,4096,0,0.0,-96.31098574877738,,,,,,,,,0.9057000000005644,2.445300000001538,0
108,0.6327437641723356,0,4096,0,0.0,-96.8882527379592,,,,,,,,,3.0774999999998442,0.14039999999937436,0
109,0.6385487528344671,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.0076999999988345,2.7116999999989844,0
110,0.6443537414965986,0,4096,0,0.0,-97.20846808077347,,,,,,,,,0.8164000000014937,3.74259999999893,0
111,0.6501587301587302,0,4096,0,0.0,-96.8882527379592,,,,,,,,,1.2082999999982746,0.3260999999987746,0
112,0.6559637188208617,0,4096,0,0.0,-96.8882527379592,,,,,,,,,1.0030000000007533,1.5470000000021855,0
